host.id,tree.id,xcoord,tips,reads,subgraphs,clades,overall.rtt,largest.rtt,max.branch.length,max.pat.distance,global.mean.pat.distance,subgraph.mean.pat.distance,normalised.overall.rtt,normalised.largest.rtt,normalised.max.branch.length,normalised.max.pat.distance,normalised.global.mean.pat.distance,normalised.subgraph.mean.pat.distance,prop.gp.1,prop.gp.2,prop.gp.3,prop.gp.4,prop.gp.5
153,1100_to_1199,1149.5,10,10,1,1,1.1370418999999998,1.1370418999999998,1.106715,2.485337,1.9428154888888889,1.9428154888888889,1.1370418999999998,1.1370418999999998,1.106715,2.485337,1.9428154888888889,1.9428154888888889,1,0,0,0,0
159,1100_to_1199,1149.5,10,10,2,2,5.642264099999999,4.29014625,4.5019219999999995,13.036549999999998,7.194705177777777,5.059010357142857,5.642264099999999,4.29014625,4.5019219999999995,13.036549999999998,7.194705177777777,5.059010357142857,0.8,0.2,0,0,0
167,1100_to_1199,1149.5,10,10,1,3,4.0131428,4.0131428,3.811266,9.554629,6.720944266666667,6.720944266666667,4.0131428,4.0131428,3.811266,9.554629,6.720944266666667,6.720944266666667,1,0,0,0,0
175,1100_to_1199,1149.5,10,10,1,1,3.8605228999999994,3.8605228999999994,3.325224,10.004884,6.592058111111111,6.592058111111111,3.8605228999999994,3.8605228999999994,3.325224,10.004884,6.592058111111111,6.592058111111111,1,0,0,0,0
182,1100_to_1199,1149.5,10,10,1,1,0.9965569999999999,0.9965569999999999,0.656282,2.3004189999999998,1.5299635999999999,1.5299635999999999,0.9965569999999999,0.9965569999999999,0.656282,2.3004189999999998,1.5299635999999999,1.5299635999999999,1,0,0,0,0
195,1100_to_1199,1149.5,10,10,2,8,3.7053177999999996,3.644994555555555,4.248219,8.745739,6.217185155555556,5.798178055555556,3.7053177999999996,3.644994555555555,4.248219,8.745739,6.217185155555556,5.798178055555556,0.9,0.1,0,0,0
198,1100_to_1199,1149.5,10,10,2,2,1.0523866000000002,0.6706488333333334,1.159327,2.6216679999999997,1.6053415555555555,1.1795427333333333,1.0523866000000002,0.6706488333333334,1.159327,2.6216679999999997,1.6053415555555555,1.1795427333333333,0.6,0.4,0,0,0
207,1100_to_1199,1149.5,10,10,1,6,0.7214786999999998,0.7214786999999998,0.692292,1.645826,1.1350934888888888,1.1350934888888888,0.7214786999999998,0.7214786999999998,0.692292,1.645826,1.1350934888888888,1.1350934888888888,1,0,0,0,0
211,1100_to_1199,1149.5,10,10,2,3,7.1651815999999995,6.361668,6.425300000000001,14.794514999999999,9.025312444444443,8.084898555555554,7.1651815999999995,6.361668,6.425300000000001,14.794514999999999,9.025312444444443,8.084898555555554,0.9,0.1,0,0,0
227,1100_to_1199,1149.5,10,10,1,1,0.32345879999999994,0.32345879999999994,0.297349,0.7341059999999999,0.4709814666666666,0.4709814666666666,0.32345879999999994,0.32345879999999994,0.297349,0.7341059999999999,0.4709814666666666,0.4709814666666666,1,0,0,0,0
23,1100_to_1199,1149.5,10,10,1,1,1.1187258,1.1187258,1.329465,2.9879749999999996,2.0124315999999998,2.0124315999999998,1.1187258,1.1187258,1.329465,2.9879749999999996,2.0124315999999998,2.0124315999999998,1,0,0,0,0
241,1100_to_1199,1149.5,10,10,3,3,4.390993,3.4473405,3.583903,8.841878999999999,5.982551733333334,4.931373071428571,4.390993,3.4473405,3.583903,8.841878999999999,5.982551733333334,4.931373071428571,0.8,0.1,0.1,0,0
247,1100_to_1199,1149.5,10,10,1,1,4.112979000000001,4.112979000000001,3.889336,8.980564,6.862474177777778,6.862474177777778,4.112979000000001,4.112979000000001,3.889336,8.980564,6.862474177777778,6.862474177777778,1,0,0,0,0
251,1100_to_1199,1149.5,10,10,1,1,0.7826587,0.7826587,0.831514,1.778981,1.2799948222222222,1.2799948222222222,0.7826587,0.7826587,0.831514,1.778981,1.2799948222222222,1.2799948222222222,1,0,0,0,0
253,1100_to_1199,1149.5,10,10,1,1,0.4625959999999999,0.4625959999999999,0.443933,1.2145869999999999,0.7647873333333333,0.7647873333333333,0.4625959999999999,0.4625959999999999,0.443933,1.2145869999999999,0.7647873333333333,0.7647873333333333,1,0,0,0,0
263,1100_to_1199,1149.5,10,10,1,1,3.613581,3.613581,3.813032,8.407782000000001,5.7115044444444445,5.7115044444444445,3.613581,3.613581,3.813032,8.407782000000001,5.7115044444444445,5.7115044444444445,1,0,0,0,0
267,1100_to_1199,1149.5,10,10,1,1,1.0634269,1.0634269,0.767879,2.37472,1.6859187333333334,1.6859187333333334,1.0634269,1.0634269,0.767879,2.37472,1.6859187333333334,1.6859187333333334,1,0,0,0,0
269,1100_to_1199,1149.5,10,10,2,2,2.9223632999999998,2.842226222222222,3.643589,7.293972,5.032355355555556,4.668990388888889,2.9223632999999998,2.842226222222222,3.643589,7.293972,5.032355355555556,4.668990388888889,0.9,0.1,0,0,0
275,1100_to_1199,1149.5,10,10,2,2,5.3078952,5.000155874999999,3.80278,12.196548,8.004361999999999,7.396915892857142,5.3078952,5.000155874999999,3.80278,12.196548,8.004361999999999,7.396915892857142,0.8,0.2,0,0,0
28,1100_to_1199,1149.5,10,10,2,9,1.2144401,1.1421678750000002,1.664575,3.135358,2.133034288888889,1.8154880357142857,1.2144401,1.1421678750000002,1.664575,3.135358,2.133034288888889,1.8154880357142857,0.8,0.2,0,0,0
283,1100_to_1199,1149.5,10,10,1,6,0.48497150000000006,0.48497150000000006,0.47825,1.072399,0.7054602,0.7054602,0.48497150000000006,0.48497150000000006,0.47825,1.072399,0.7054602,0.7054602,1,0,0,0,0
296,1100_to_1199,1149.5,10,10,2,2,6.8802994,3.8560603750000007,7.011062000000001,17.77225,8.64599951111111,4.947403464285714,6.8802994,3.8560603750000007,7.011062000000001,17.77225,8.64599951111111,4.947403464285714,0.8,0.2,0,0,0
300,1100_to_1199,1149.5,10,10,3,3,3.2909102,1.9201052,3.059051,8.066441000000001,5.406146977777778,3.1032148000000004,3.2909102,1.9201052,3.059051,8.066441000000001,5.406146977777778,3.1032148000000004,0.5,0.4,0.1,0,0
339,1100_to_1199,1149.5,10,10,3,3,6.843506100000001,4.0955598,7.067966,16.256739,10.588141444444444,4.9645934,6.843506100000001,4.0955598,7.067966,16.256739,10.588141444444444,4.9645934,0.5,0.3,0.2,0,0
