host.id,tree.id,xcoord,tips,reads,subgraphs,clades,overall.rtt,largest.rtt,max.branch.length,max.pat.distance,global.mean.pat.distance,subgraph.mean.pat.distance,normalised.overall.rtt,normalised.largest.rtt,normalised.max.branch.length,normalised.max.pat.distance,normalised.global.mean.pat.distance,normalised.subgraph.mean.pat.distance,prop.gp.1,prop.gp.2,prop.gp.3,prop.gp.4,prop.gp.5,prop.gp.6,prop.gp.7,prop.gp.8,prop.gp.9,prop.gp.10,prop.gp.11,prop.gp.12,prop.gp.13,prop.gp.14,prop.gp.15,prop.gp.16,prop.gp.17,prop.gp.18
AI105,1500_to_1599,1549.5,10,10,2,8,0.0072662000000000004,0.00807277777777778,0.009094999999999999,0.018152999999999996,0.0102852,0.010837444444444443,0.0072662000000000004,0.00807277777777778,0.009094999999999999,0.018152999999999996,0.0102852,0.010837444444444443,0.9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AI107,1500_to_1599,1549.5,15,15,10,14,0.10255026666666667,0.013788,0.193224,0.282126,0.1273657142857143,0.027576,0.10255026666666667,0.013788,0.193224,0.282126,0.1273657142857143,0.027576,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0,0,0,0,0,0,0,0
AI142,1500_to_1599,1549.5,7,7,6,7,0.035794714285714284,0.006862499999999999,0.052907,0.08504300000000001,0.04858314285714286,0.013724999999999998,0.035794714285714284,0.006862499999999999,0.052907,0.08504300000000001,0.04858314285714286,0.013724999999999998,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0,0
AI201,1500_to_1599,1549.5,6,6,4,6,0.08054766666666667,0.006828000000000001,0.124081,0.21168900000000002,0.11688893333333333,0.013656000000000001,0.08054766666666667,0.006828000000000001,0.124081,0.21168900000000002,0.11688893333333333,0.013656000000000001,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AI202,1500_to_1599,1549.5,5,5,4,4,0.055199599999999995,1e-6,0.06671300000000001,0.075855,0.030346200000000004,2e-6,0.055199599999999995,1e-6,0.06671300000000001,0.075855,0.030346200000000004,2e-6,0.4,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AI240,1500_to_1599,1549.5,11,11,2,7,0.0067830909090909105,0.0060632,0.009338,0.023303000000000004,0.00847890909090909,0.0079808,0.0067830909090909105,0.0060632,0.009338,0.023303000000000004,0.00847890909090909,0.0079808,0.9090909090909091,0.09090909090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AI283,1500_to_1599,1549.5,13,13,4,9,0.012131923076923077,0.0023205,0.078512,0.087884,0.02175723076923077,0.004639,0.012131923076923077,0.0023205,0.078512,0.087884,0.02175723076923077,0.004639,0.46153846153846156,0.38461538461538464,0.07692307692307693,0.07692307692307693,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJ199,1500_to_1599,1549.5,26,26,1,10,0.06203211538461538,0.06203211538461538,0.08877499999999999,0.201601,0.08370684,0.08370684,0.06203211538461538,0.06203211538461538,0.08877499999999999,0.201601,0.08370684,0.08370684,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJ6,1500_to_1599,1549.5,16,16,2,2,0.095266875,0.01276473333333333,0.08885699999999999,0.12319,0.0322715,0.022364323809523808,0.095266875,0.01276473333333333,0.08885699999999999,0.12319,0.0322715,0.022364323809523808,0.9375,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJ86,1500_to_1599,1549.5,7,7,1,3,0.006587285714285713,0.006587285714285713,0.023229,0.036988,0.013171523809523808,0.013171523809523808,0.006587285714285713,0.006587285714285713,0.023229,0.036988,0.013171523809523808,0.013171523809523808,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK18,1500_to_1599,1549.5,31,31,7,28,0.018852709677419355,0.013814631578947368,0.027788,0.055477,0.01945846451612903,0.01281093567251462,0.018852709677419355,0.013814631578947368,0.027788,0.055477,0.01945846451612903,0.01281093567251462,0.6129032258064516,0.22580645161290322,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0,0,0,0,0,0,0,0,0,0,0
AK2,1500_to_1599,1549.5,22,22,6,20,0.011909272727272728,0.0043342352941176466,0.009244999999999998,0.018481999999999995,0.009341974025974024,0.008596970588235293,0.011909272727272728,0.0043342352941176466,0.009244999999999998,0.018481999999999995,0.009341974025974024,0.008596970588235293,0.7727272727272727,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0,0,0,0,0,0,0,0,0,0,0,0
AK31,1500_to_1599,1549.5,45,45,11,21,0.026186066666666674,0.018173911764705886,0.087525,0.19291200000000003,0.03255649898989899,0.03456065062388592,0.026186066666666674,0.018173911764705886,0.087525,0.19291200000000003,0.03255649898989899,0.03456065062388592,0.7555555555555555,0.044444444444444446,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0,0,0,0,0,0,0
AL200,1500_to_1599,1549.5,15,15,1,10,0.014021933333333335,0.014021933333333335,0.013565,0.031483000000000004,0.012376819047619048,0.012376819047619048,0.014021933333333335,0.014021933333333335,0.013565,0.031483000000000004,0.012376819047619048,0.012376819047619048,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL204,1500_to_1599,1549.5,25,25,3,3,0.027533239999999997,0.004504428571428571,0.023273,0.07775499999999999,0.034568426666666666,0.009003802197802196,0.027533239999999997,0.004504428571428571,0.023273,0.07775499999999999,0.034568426666666666,0.009003802197802196,0.56,0.4,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AN12,1500_to_1599,1549.5,39,39,1,2,0.1344445641025641,0.1344445641025641,0.078148,0.335903,0.17179423481781375,0.17179423481781375,0.1344445641025641,0.1344445641025641,0.078148,0.335903,0.17179423481781375,0.17179423481781375,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AN13,1500_to_1599,1549.5,7,7,1,1,0.01021042857142857,0.01021042857142857,0.008934,0.017862999999999997,0.007232190476190475,0.007232190476190475,0.01021042857142857,0.01021042857142857,0.008934,0.017862999999999997,0.007232190476190475,0.007232190476190475,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
