dataset,tnet_50_prec,tnet_50_rec,tnet_50_f1,tnet_80_prec,tnet_80_rec,tnet_80_f1,tnet_100_prec,tnet_100_rec,tnet_100_f1
SEIR015_sl1000_mr05_nv10_18,0.783,0.878,0.828,0.786,0.805,0.795,0.775,0.756,0.765
SEIR015_sl1000_mr05_nv10_19,0.784,0.906,0.841,0.794,0.844,0.818,0.857,0.75,0.8
SEIR015_sl1000_mr05_nv10_2,0.923,0.857,0.889,0.909,0.714,0.8,0.903,0.667,0.767
SEIR015_sl1000_mr05_nv10_20,0.38,0.463,0.418,0.316,0.293,0.304,0.333,0.268,0.297
SEIR015_sl1000_mr05_nv10_3,0.842,0.857,0.85,0.882,0.804,0.841,0.9,0.804,0.849
SEIR015_sl1000_mr05_nv10_4,0.6,0.656,0.627,0.618,0.656,0.636,0.613,0.594,0.603
SEIR015_sl1000_mr05_nv10_5,0.818,0.818,0.818,0.818,0.818,0.818,0.818,0.818,0.818
SEIR015_sl1000_mr05_nv10_6,0.815,0.733,0.772,0.818,0.6,0.692,0.818,0.6,0.692
SEIR015_sl1000_mr05_nv10_7,0.524,0.846,0.647,0.562,0.692,0.621,0.562,0.692,0.621
SEIR015_sl1000_mr05_nv10_8,0.7,0.778,0.737,0.743,0.722,0.732,0.812,0.722,0.765
SEIR015_sl1000_mr05_nv10_9,0.857,0.8,0.828,0.923,0.8,0.857,0.917,0.733,0.815
SEIR015_sl250_mr025_nv10_1,0.538,0.824,0.651,0.538,0.824,0.651,0.542,0.765,0.634
SEIR015_sl250_mr025_nv10_10,0.405,0.542,0.464,0.435,0.458,0.446,0.474,0.458,0.466
SEIR015_sl250_mr025_nv10_11,0.476,0.588,0.526,0.486,0.529,0.507,0.5,0.5,0.5
SEIR015_sl250_mr025_nv10_12,0.403,0.674,0.504,0.46,0.674,0.547,0.475,0.674,0.558
SEIR015_sl250_mr025_nv10_13,0.647,0.688,0.667,0.688,0.688,0.688,0.688,0.688,0.688
SEIR015_sl250_mr025_nv10_14,0.341,0.6,0.435,0.351,0.52,0.419,0.333,0.48,0.393
SEIR015_sl250_mr025_nv10_15,0.755,0.816,0.784,0.76,0.776,0.768,0.76,0.776,0.768
SEIR015_sl250_mr025_nv10_16,0.148,0.296,0.198,0.167,0.296,0.213,0.182,0.296,0.225
SEIR015_sl250_mr025_nv10_17,0.538,0.583,0.56,0.455,0.417,0.435,0.455,0.417,0.435
SEIR015_sl250_mr025_nv10_18,0.471,0.727,0.571,0.471,0.727,0.571,0.471,0.727,0.571
SEIR015_sl250_mr025_nv10_19,0.568,0.676,0.617,0.6,0.486,0.537,0.586,0.459,0.515
SEIR015_sl250_mr025_nv10_2,0.25,0.364,0.296,0.167,0.182,0.174,0.167,0.182,0.174
SEIR015_sl250_mr025_nv10_20,0.634,0.788,0.703,0.684,0.788,0.732,0.684,0.788,0.732
SEIR015_sl250_mr025_nv10_3,0.571,0.8,0.667,0.571,0.8,0.667,0.571,0.8,0.667
SEIR015_sl250_mr025_nv10_4,0.692,0.72,0.706,0.692,0.72,0.706,0.692,0.72,0.706
SEIR015_sl250_mr025_nv10_5,0.556,0.625,0.588,0.556,0.625,0.588,0.556,0.625,0.588
SEIR015_sl250_mr025_nv10_6,0.684,0.743,0.712,0.684,0.743,0.712,0.676,0.714,0.694
SEIR015_sl250_mr025_nv10_7,0.333,0.375,0.353,0.333,0.375,0.353,0.333,0.375,0.353
SEIR015_sl250_mr025_nv10_8,0.793,0.852,0.821,0.76,0.704,0.731,0.76,0.704,0.731
SEIR015_sl250_mr025_nv10_9,0.5,0.733,0.595,0.611,0.733,0.667,0.733,0.733,0.733
SEIR015_sl500_mr025_nv10_1,0.667,0.8,0.727,0.667,0.8,0.727,0.6,0.6,0.6
SEIR015_sl500_mr025_nv10_10,0.844,0.884,0.864,0.881,0.86,0.871,0.897,0.814,0.854
SEIR015_sl500_mr025_nv10_11,0.364,0.5,0.421,0.4,0.5,0.444,0.4,0.5,0.444
SEIR015_sl500_mr025_nv10_12,0.655,0.717,0.685,0.708,0.642,0.673,0.75,0.566,0.645
SEIR015_sl500_mr025_nv10_13,0.444,0.571,0.5,0.485,0.571,0.525,0.552,0.571,0.561
SEIR015_sl500_mr025_nv10_14,0.8,0.889,0.842,0.8,0.889,0.842,1.0,0.889,0.941
SEIR015_sl500_mr025_nv10_15,0.831,0.845,0.838,0.836,0.793,0.814,0.849,0.776,0.811
SEIR015_sl500_mr025_nv10_16,0.667,0.833,0.741,0.714,0.833,0.769,0.714,0.833,0.769
SEIR015_sl500_mr025_nv10_17,0.632,0.857,0.727,0.667,0.857,0.75,0.667,0.857,0.75
SEIR015_sl500_mr025_nv10_18,0.75,0.692,0.72,0.706,0.462,0.558,0.643,0.346,0.45
SEIR015_sl500_mr025_nv10_19,0.727,0.8,0.762,0.727,0.8,0.762,0.875,0.7,0.778
SEIR015_sl500_mr025_nv10_2,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625
SEIR015_sl500_mr025_nv10_20,0.696,0.75,0.722,0.796,0.672,0.729,0.796,0.672,0.729
SEIR015_sl500_mr025_nv10_3,0.75,0.811,0.779,0.73,0.73,0.73,0.758,0.676,0.714
SEIR015_sl500_mr025_nv10_4,0.408,0.488,0.444,0.415,0.415,0.415,0.415,0.415,0.415
SEIR015_sl500_mr025_nv10_5,0.933,1.0,0.966,0.933,1.0,0.966,0.933,1.0,0.966
SEIR015_sl500_mr025_nv10_6,0.75,0.789,0.769,0.75,0.789,0.769,0.75,0.789,0.769
SEIR015_sl500_mr025_nv10_7,0.5,0.516,0.508,0.69,0.468,0.558,0.744,0.468,0.574
SEIR015_sl500_mr025_nv10_8,0.7,0.836,0.762,0.739,0.761,0.75,0.726,0.672,0.698
SEIR015_sl500_mr025_nv10_9,0.538,0.636,0.583,0.538,0.636,0.583,0.636,0.636,0.636
SEIR01_sl1000_mr0125_nv10_1,0.722,0.722,0.722,0.765,0.722,0.743,0.765,0.722,0.743
SEIR01_sl1000_mr0125_nv10_10,0.926,0.926,0.926,0.917,0.815,0.863,0.917,0.815,0.863
SEIR01_sl1000_mr0125_nv10_11,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923
SEIR01_sl1000_mr0125_nv10_12,0.2,0.2,0.2,0.25,0.2,0.222,0.25,0.2,0.222
SEIR01_sl1000_mr0125_nv10_13,0.818,0.9,0.857,0.818,0.9,0.857,0.818,0.9,0.857
SEIR01_sl1000_mr0125_nv10_14,0.933,0.933,0.933,0.933,0.933,0.933,0.933,0.933,0.933
SEIR01_sl1000_mr0125_nv10_15,0.792,0.792,0.792,0.826,0.792,0.809,0.857,0.75,0.8
SEIR01_sl1000_mr0125_nv10_16,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714
SEIR01_sl1000_mr0125_nv10_17,0.769,0.833,0.8,0.769,0.833,0.8,0.769,0.833,0.8
SEIR01_sl1000_mr0125_nv10_18,0.854,0.911,0.882,0.87,0.889,0.879,0.905,0.844,0.874
SEIR01_sl1000_mr0125_nv10_19,0.862,0.833,0.847,0.893,0.833,0.862,0.885,0.767,0.821
SEIR01_sl1000_mr0125_nv10_2,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923
