dataset,without_complex_prec,without_complex_rec,without_complex_f1,with_complex_prec,with_complex_rec,with_complex_f1
SEIR01_sl1000_mr05_nv10_18,0.98,0.875,0.925,0.98,0.893,0.935
SEIR01_sl1000_mr05_nv10_19,1.0,0.571,0.727,1.0,0.571,0.727
SEIR01_sl1000_mr05_nv10_2,0.857,0.75,0.8,0.857,0.75,0.8
SEIR01_sl1000_mr05_nv10_20,0.958,0.885,0.92,0.96,0.923,0.941
SEIR01_sl1000_mr05_nv10_3,0.81,0.68,0.739,0.81,0.68,0.739
SEIR01_sl1000_mr05_nv10_4,1.0,0.636,0.778,1.0,0.727,0.842
SEIR01_sl1000_mr05_nv10_5,0.941,0.889,0.914,0.941,0.889,0.914
SEIR01_sl1000_mr05_nv10_6,0.973,0.9,0.935,0.973,0.9,0.935
SEIR01_sl1000_mr05_nv10_7,0.919,0.739,0.819,0.895,0.739,0.81
SEIR01_sl1000_mr05_nv10_8,0.875,0.875,0.875,0.875,0.875,0.875
SEIR01_sl1000_mr05_nv10_9,1.0,0.923,0.96,0.96,0.923,0.941
SEIR01_sl250_mr025_nv10_1,1.0,0.578,0.732,0.912,0.689,0.785
SEIR01_sl250_mr025_nv10_10,1.0,0.471,0.64,0.846,0.647,0.733
SEIR01_sl250_mr025_nv10_11,0.857,0.375,0.522,0.8,0.75,0.774
SEIR01_sl250_mr025_nv10_12,0.939,0.721,0.816,0.833,0.814,0.824
SEIR01_sl250_mr025_nv10_13,0.5,0.167,0.25,0.5,0.333,0.4
SEIR01_sl250_mr025_nv10_14,0.926,0.543,0.685,0.711,0.587,0.643
SEIR01_sl250_mr025_nv10_15,1.0,0.286,0.444,1.0,0.857,0.923
SEIR01_sl250_mr025_nv10_16,0.957,0.478,0.638,0.868,0.717,0.786
SEIR01_sl250_mr025_nv10_17,1.0,0.125,0.222,0.625,0.625,0.625
SEIR01_sl250_mr025_nv10_18,1.0,0.531,0.694,0.926,0.781,0.847
SEIR01_sl250_mr025_nv10_19,1.0,0.583,0.737,0.889,0.667,0.762
SEIR01_sl250_mr025_nv10_2,1.0,0.357,0.526,0.667,0.429,0.522
SEIR01_sl250_mr025_nv10_20,1.0,0.444,0.615,0.933,0.778,0.848
SEIR01_sl250_mr025_nv10_3,1.0,0.778,0.875,0.852,0.852,0.852
SEIR01_sl250_mr025_nv10_4,1.0,0.643,0.783,0.917,0.786,0.846
SEIR01_sl250_mr025_nv10_5,0.962,0.61,0.746,0.806,0.707,0.753
SEIR01_sl250_mr025_nv10_6,0.818,0.409,0.545,0.56,0.636,0.596
SEIR01_sl250_mr025_nv10_7,0.857,0.429,0.571,0.692,0.643,0.667
SEIR01_sl250_mr025_nv10_8,1.0,0.5,0.667,0.846,0.647,0.733
SEIR01_sl250_mr025_nv10_9,1.0,0.852,0.92,0.932,0.902,0.917
SEIR01_sl500_mr025_nv10_1,1.0,0.5,0.667,1.0,0.5,0.667
SEIR01_sl500_mr025_nv10_10,1.0,0.714,0.833,1.0,0.714,0.833
SEIR01_sl500_mr025_nv10_11,0.917,0.647,0.759,0.867,0.765,0.812
SEIR01_sl500_mr025_nv10_12,0.936,0.863,0.898,0.9,0.882,0.891
SEIR01_sl500_mr025_nv10_13,1.0,0.7,0.824,1.0,0.9,0.947
SEIR01_sl500_mr025_nv10_14,1.0,0.5,0.667,0.75,0.5,0.6
SEIR01_sl500_mr025_nv10_15,1.0,0.828,0.906,0.981,0.879,0.927
SEIR01_sl500_mr025_nv10_16,0.909,0.667,0.769,0.846,0.733,0.786
SEIR01_sl500_mr025_nv10_17,0.667,0.333,0.444,0.667,0.333,0.444
SEIR01_sl500_mr025_nv10_18,0.75,0.5,0.6,0.8,0.667,0.727
SEIR01_sl500_mr025_nv10_19,0.75,0.375,0.5,0.714,0.625,0.667
SEIR01_sl500_mr025_nv10_2,1.0,0.375,0.545,0.667,0.5,0.571
SEIR01_sl500_mr025_nv10_20,0.833,0.781,0.806,0.833,0.781,0.806
SEIR01_sl500_mr025_nv10_3,0.941,0.762,0.842,0.818,0.857,0.837
SEIR01_sl500_mr025_nv10_4,0.8,0.571,0.667,0.833,0.714,0.769
SEIR01_sl500_mr025_nv10_5,1.0,0.4,0.571,1.0,0.8,0.889
SEIR01_sl500_mr025_nv10_6,0.978,0.849,0.909,0.961,0.925,0.942
SEIR01_sl500_mr025_nv10_7,0.964,0.794,0.871,0.935,0.853,0.892
SEIR01_sl500_mr025_nv10_8,1.0,0.5,0.667,0.692,0.562,0.621
SEIR01_sl500_mr025_nv10_9,0.857,0.667,0.75,0.875,0.778,0.824
SIR003_sl1000_mr025_nv10_1,0.769,0.714,0.741,0.769,0.714,0.741
SIR003_sl1000_mr025_nv10_10,0.917,0.846,0.88,0.917,0.846,0.88
SIR003_sl1000_mr025_nv10_11,0.731,0.633,0.679,0.731,0.633,0.679
SIR003_sl1000_mr025_nv10_12,0.905,0.776,0.835,0.87,0.816,0.842
SIR003_sl1000_mr025_nv10_13,0.667,0.364,0.471,0.667,0.364,0.471
SIR003_sl1000_mr025_nv10_14,0.909,0.667,0.769,0.909,0.667,0.769
SIR003_sl1000_mr025_nv10_15,0.933,0.583,0.718,0.933,0.583,0.718
SIR003_sl1000_mr025_nv10_16,0.769,0.588,0.667,0.769,0.588,0.667
SIR003_sl1000_mr025_nv10_17,0.895,0.739,0.81,0.9,0.783,0.837
SIR003_sl1000_mr025_nv10_18,1.0,0.4,0.571,1.0,0.4,0.571
SIR003_sl1000_mr025_nv10_19,0.75,0.5,0.6,0.765,0.542,0.634
SIR003_sl1000_mr025_nv10_2,1.0,0.789,0.882,1.0,0.842,0.914
SIR003_sl1000_mr025_nv10_20,0.857,0.667,0.75,0.857,0.667,0.75
SIR003_sl1000_mr025_nv10_3,1.0,0.731,0.844,1.0,0.731,0.844
SIR003_sl1000_mr025_nv10_4,0.75,0.677,0.712,0.75,0.677,0.712
SIR003_sl1000_mr025_nv10_5,1.0,0.571,0.727,1.0,0.571,0.727
SIR003_sl1000_mr025_nv10_6,0.714,0.652,0.682,0.714,0.652,0.682
SIR003_sl1000_mr025_nv10_7,0.692,0.562,0.621,0.692,0.562,0.621
SIR003_sl1000_mr025_nv10_8,0.917,0.733,0.815,0.917,0.733,0.815
SIR003_sl1000_mr025_nv10_9,0.714,0.536,0.612,0.714,0.536,0.612
SIR003_sl1000_mr05_nv10_1,1.0,0.647,0.786,1.0,0.647,0.786
SIR003_sl1000_mr05_nv10_10,1.0,0.769,0.87,1.0,0.769,0.87
SIR003_sl1000_mr05_nv10_11,0.759,0.629,0.688,0.759,0.629,0.688
SIR003_sl1000_mr05_nv10_12,0.824,0.764,0.792,0.808,0.764,0.785
SIR003_sl1000_mr05_nv10_13,0.796,0.696,0.743,0.784,0.714,0.748
SIR003_sl1000_mr05_nv10_14,1.0,0.9,0.947,1.0,0.9,0.947
SIR003_sl1000_mr05_nv10_15,0.9,0.692,0.783,0.9,0.692,0.783
SIR003_sl1000_mr05_nv10_16,0.783,0.72,0.75,0.783,0.72,0.75
SIR003_sl1000_mr05_nv10_17,0.75,0.429,0.545,0.75,0.429,0.545
SIR003_sl1000_mr05_nv10_18,0.938,0.652,0.769,0.938,0.652,0.769
SIR003_sl1000_mr05_nv10_19,0.967,0.784,0.866,0.967,0.784,0.866
