dataset,phy_tp,phy_fp,phy_fn,tnet_tp,tnet_fp,tnet_fn,tnet_50_tp,tnet_50_fp,tnet_50_fn,tnet_80_tp,tnet_80_fp,tnet_80_fn,tnet_100_tp,tnet_100_fp,tnet_100_fn
SEIR015_sl1000_mr05_nv10_12,5,0,3,8,0,0,8,0,0,8,0,0,8,0,0
SEIR015_sl1000_mr05_nv10_13,39,0,22,58,3,3,58,3,3,50,0,11,48,0,13
SEIR015_sl1000_mr05_nv10_14,20,0,26,44,2,2,46,0,0,37,0,9,32,0,14
SEIR015_sl1000_mr05_nv10_15,3,0,8,10,1,1,11,0,0,8,0,3,8,0,3
SEIR015_sl1000_mr05_nv10_16,28,0,13,38,3,3,41,0,0,40,0,1,38,0,3
SEIR015_sl1000_mr05_nv10_17,37,0,32,60,9,9,63,6,6,54,1,15,51,0,18
SEIR015_sl1000_mr05_nv10_18,23,0,18,34,7,7,36,3,5,34,1,7,31,0,10
SEIR015_sl1000_mr05_nv10_19,20,0,12,31,1,1,31,1,1,30,0,2,30,0,2
SEIR015_sl1000_mr05_nv10_2,11,0,31,34,8,8,33,8,9,24,2,18,24,2,18
SEIR015_sl1000_mr05_nv10_20,8,0,33,18,23,23,26,15,15,19,12,22,14,8,27
SEIR015_sl1000_mr05_nv10_3,43,0,13,48,8,8,49,2,7,48,1,8,48,1,8
SEIR015_sl1000_mr05_nv10_4,14,0,18,26,6,6,26,3,6,24,1,8,21,1,11
SEIR015_sl1000_mr05_nv10_5,7,0,4,11,0,0,10,1,1,8,0,3,8,0,3
SEIR015_sl1000_mr05_nv10_6,14,0,16,29,1,1,24,5,6,22,0,8,19,0,11
SEIR015_sl1000_mr05_nv10_7,11,0,2,12,1,1,12,1,1,11,0,2,11,0,2
SEIR015_sl1000_mr05_nv10_8,22,0,14,34,2,2,31,3,5,29,1,7,29,1,7
SEIR015_sl1000_mr05_nv10_9,7,0,8,12,3,3,12,4,3,11,0,4,11,0,4
SEIR015_sl250_mr025_nv10_1,14,0,3,17,0,0,16,1,1,16,0,1,16,0,1
SEIR015_sl250_mr025_nv10_10,37,0,22,57,2,2,54,3,5,51,1,8,51,1,8
SEIR015_sl250_mr025_nv10_11,11,0,23,24,10,10,25,7,9,19,4,15,19,2,15
SEIR015_sl250_mr025_nv10_12,25,0,18,41,2,2,41,1,2,38,0,5,38,0,5
SEIR015_sl250_mr025_nv10_13,10,0,6,11,5,5,10,4,6,10,0,6,10,0,6
SEIR015_sl250_mr025_nv10_14,20,0,5,24,1,1,25,0,0,23,0,2,23,0,2
SEIR015_sl250_mr025_nv10_15,35,0,14,49,0,0,49,0,0,48,0,1,46,0,3
SEIR015_sl250_mr025_nv10_16,15,0,12,20,7,7,22,4,5,20,2,7,20,1,7
SEIR015_sl250_mr025_nv10_17,6,0,6,9,3,3,10,2,2,9,2,3,9,2,3
SEIR015_sl250_mr025_nv10_18,6,0,5,7,4,4,7,0,4,6,0,5,6,0,5
SEIR015_sl250_mr025_nv10_19,12,0,25,30,7,7,30,2,7,27,1,10,26,1,11
SEIR015_sl250_mr025_nv10_2,14,0,8,20,2,2,19,2,3,18,2,4,18,2,4
SEIR015_sl250_mr025_nv10_20,26,0,7,28,5,5,29,1,4,29,0,4,28,0,5
SEIR015_sl250_mr025_nv10_3,9,0,6,14,1,1,13,1,2,13,0,2,13,0,2
SEIR015_sl250_mr025_nv10_4,9,0,16,24,1,1,20,5,5,19,2,6,19,1,6
SEIR015_sl250_mr025_nv10_5,5,0,3,6,2,2,6,0,2,5,0,3,5,0,3
SEIR015_sl250_mr025_nv10_6,16,0,19,29,6,6,33,2,2,30,2,5,28,0,7
SEIR015_sl250_mr025_nv10_7,5,0,3,5,3,3,6,1,2,5,1,3,5,0,3
SEIR015_sl250_mr025_nv10_8,14,0,13,26,1,1,25,2,2,24,0,3,24,0,3
SEIR015_sl250_mr025_nv10_9,6,0,9,12,3,3,10,4,5,7,0,8,7,0,8
SEIR015_sl500_mr025_nv10_1,6,0,4,9,1,1,9,1,1,8,0,2,8,0,2
SEIR015_sl500_mr025_nv10_10,26,0,17,40,3,3,41,1,2,40,1,3,35,0,8
SEIR015_sl500_mr025_nv10_11,7,0,1,7,1,1,7,1,1,7,0,1,7,0,1
SEIR015_sl500_mr025_nv10_12,26,0,27,45,8,8,47,2,6,44,0,9,37,0,16
SEIR015_sl500_mr025_nv10_13,17,0,11,26,2,2,25,1,3,25,0,3,23,0,5
SEIR015_sl500_mr025_nv10_14,6,0,3,9,0,0,9,0,0,8,0,1,8,0,1
SEIR015_sl500_mr025_nv10_15,34,0,24,56,2,2,57,0,1,50,0,8,46,0,12
SEIR015_sl500_mr025_nv10_16,5,0,7,9,3,3,9,3,3,9,1,3,9,1,3
SEIR015_sl500_mr025_nv10_17,11,0,3,11,3,3,11,2,3,11,0,3,11,0,3
SEIR015_sl500_mr025_nv10_18,8,0,18,22,4,4,22,3,4,17,0,9,15,0,11
SEIR015_sl500_mr025_nv10_19,9,0,1,10,0,0,10,0,0,9,0,1,9,0,1
SEIR015_sl500_mr025_nv10_2,3,0,5,7,1,1,7,1,1,7,1,1,7,1,1
SEIR015_sl500_mr025_nv10_20,42,0,22,61,3,3,63,1,1,58,0,6,54,0,10
SEIR015_sl500_mr025_nv10_3,14,0,23,29,8,8,29,8,8,27,3,10,22,1,15
SEIR015_sl500_mr025_nv10_4,23,0,18,36,5,5,33,4,8,31,1,10,30,1,11
SEIR015_sl500_mr025_nv10_5,11,0,3,14,0,0,14,0,0,13,0,1,13,0,1
SEIR015_sl500_mr025_nv10_6,16,0,3,18,1,1,18,1,1,18,1,1,18,0,1
SEIR015_sl500_mr025_nv10_7,25,0,37,45,17,17,50,9,12,39,4,23,38,2,24
SEIR015_sl500_mr025_nv10_8,36,0,31,64,3,3,65,2,2,61,2,6,59,2,8
SEIR015_sl500_mr025_nv10_9,7,0,4,11,0,0,10,1,1,9,0,2,9,0,2
SEIR01_sl1000_mr0125_nv10_1,11,0,7,17,1,1,16,1,2,15,0,3,15,0,3
SEIR01_sl1000_mr0125_nv10_10,34,0,20,48,6,6,51,3,3,44,1,10,44,1,10
SEIR01_sl1000_mr0125_nv10_11,8,0,5,11,2,2,11,2,2,11,0,2,11,0,2
SEIR01_sl1000_mr0125_nv10_12,2,0,3,5,0,0,3,0,2,2,0,3,2,0,3
SEIR01_sl1000_mr0125_nv10_13,9,0,1,10,0,0,10,0,0,10,0,0,10,0,0
SEIR01_sl1000_mr0125_nv10_14,25,0,5,28,2,2,28,2,2,28,1,2,28,1,2
SEIR01_sl1000_mr0125_nv10_15,14,0,10,21,3,3,21,2,3,21,0,3,19,0,5
SEIR01_sl1000_mr0125_nv10_16,3,0,4,6,1,1,5,1,2,5,0,2,5,0,2
SEIR01_sl1000_mr0125_nv10_17,11,0,1,12,0,0,11,1,1,11,0,1,11,0,1
SEIR01_sl1000_mr0125_nv10_18,34,0,11,42,3,3,41,2,4,40,0,5,40,0,5
SEIR01_sl1000_mr0125_nv10_19,21,0,9,28,2,2,28,2,2,27,2,3,27,2,3
SEIR01_sl1000_mr0125_nv10_2,19,0,7,22,4,4,24,4,2,22,1,4,22,0,4
SEIR01_sl1000_mr0125_nv10_20,24,0,1,24,1,1,24,1,1,24,0,1,24,0,1
SEIR01_sl1000_mr0125_nv10_3,26,0,12,37,1,1,37,1,1,33,0,5,31,0,7
SEIR01_sl1000_mr0125_nv10_4,17,0,7,20,4,4,21,3,3,21,3,3,19,1,5
SEIR01_sl1000_mr0125_nv10_5,37,0,10,47,0,0,47,0,0,47,0,0,47,0,0
SEIR01_sl1000_mr0125_nv10_6,28,0,20,40,8,8,41,7,7,39,4,9,37,1,11
SEIR01_sl1000_mr0125_nv10_7,28,0,11,38,1,1,37,1,2,37,0,2,36,0,3
