dataset,phy_f1,tnet_f1,tnet_50_f1,tnet_80_f1,tnet_100_f1
SEIR015_sl500_mr025_nv10_14,0.8,1.0,1.0,0.941,0.941
SEIR015_sl500_mr025_nv10_15,0.739,0.966,0.991,0.926,0.885
SEIR015_sl500_mr025_nv10_16,0.588,0.75,0.75,0.818,0.818
SEIR015_sl500_mr025_nv10_17,0.88,0.786,0.815,0.88,0.88
SEIR015_sl500_mr025_nv10_18,0.471,0.846,0.863,0.791,0.732
SEIR015_sl500_mr025_nv10_19,0.947,1.0,1.0,0.947,0.947
SEIR015_sl500_mr025_nv10_2,0.545,0.875,0.875,0.875,0.875
SEIR015_sl500_mr025_nv10_20,0.792,0.953,0.984,0.951,0.915
SEIR015_sl500_mr025_nv10_3,0.549,0.784,0.784,0.806,0.733
SEIR015_sl500_mr025_nv10_4,0.719,0.878,0.846,0.849,0.833
SEIR015_sl500_mr025_nv10_5,0.88,1.0,1.0,0.963,0.963
SEIR015_sl500_mr025_nv10_6,0.914,0.947,0.947,0.947,0.973
SEIR015_sl500_mr025_nv10_7,0.575,0.726,0.826,0.743,0.745
SEIR015_sl500_mr025_nv10_8,0.699,0.955,0.97,0.938,0.922
SEIR015_sl500_mr025_nv10_9,0.778,1.0,0.909,0.9,0.9
SEIR01_sl1000_mr0125_nv10_1,0.759,0.944,0.914,0.909,0.909
SEIR01_sl1000_mr0125_nv10_10,0.773,0.889,0.944,0.889,0.889
SEIR01_sl1000_mr0125_nv10_11,0.762,0.846,0.846,0.917,0.917
SEIR01_sl1000_mr0125_nv10_12,0.571,1.0,0.75,0.571,0.571
SEIR01_sl1000_mr0125_nv10_13,0.947,1.0,1.0,1.0,1.0
SEIR01_sl1000_mr0125_nv10_14,0.909,0.933,0.933,0.949,0.949
SEIR01_sl1000_mr0125_nv10_15,0.737,0.875,0.894,0.933,0.884
SEIR01_sl1000_mr0125_nv10_16,0.6,0.857,0.769,0.833,0.833
SEIR01_sl1000_mr0125_nv10_17,0.957,1.0,0.917,0.957,0.957
SEIR01_sl1000_mr0125_nv10_18,0.861,0.933,0.932,0.941,0.941
SEIR01_sl1000_mr0125_nv10_19,0.824,0.933,0.933,0.915,0.915
SEIR01_sl1000_mr0125_nv10_2,0.844,0.846,0.889,0.898,0.917
SEIR01_sl1000_mr0125_nv10_20,0.98,0.96,0.96,0.98,0.98
SEIR01_sl1000_mr0125_nv10_3,0.813,0.974,0.974,0.93,0.899
SEIR01_sl1000_mr0125_nv10_4,0.829,0.833,0.875,0.875,0.864
SEIR01_sl1000_mr0125_nv10_5,0.881,1.0,1.0,1.0,1.0
SEIR01_sl1000_mr0125_nv10_6,0.737,0.833,0.854,0.857,0.86
SEIR01_sl1000_mr0125_nv10_7,0.836,0.974,0.961,0.974,0.96
SEIR01_sl1000_mr0125_nv10_8,0.667,1.0,1.0,1.0,1.0
SEIR01_sl1000_mr0125_nv10_9,0.825,1.0,0.968,0.978,0.978
SEIR01_sl1000_mr025_nv10_1,0.756,1.0,1.0,1.0,1.0
SEIR01_sl1000_mr025_nv10_10,0.875,1.0,1.0,1.0,1.0
SEIR01_sl1000_mr025_nv10_11,0.814,0.857,0.857,0.866,0.892
SEIR01_sl1000_mr025_nv10_12,0.857,0.875,0.875,0.8,0.8
SEIR01_sl1000_mr025_nv10_13,0.4,0.85,0.85,0.865,0.889
SEIR01_sl1000_mr025_nv10_14,0.807,1.0,0.971,0.955,0.97
SEIR01_sl1000_mr025_nv10_15,0.889,1.0,1.0,1.0,1.0
SEIR01_sl1000_mr025_nv10_16,0.727,0.905,0.889,0.883,0.88
SEIR01_sl1000_mr025_nv10_17,0.831,0.933,0.911,0.93,0.892
SEIR01_sl1000_mr025_nv10_18,0.875,1.0,1.0,1.0,1.0
SEIR01_sl1000_mr025_nv10_19,0.832,0.932,0.975,0.947,0.929
SEIR01_sl1000_mr025_nv10_2,0.872,0.955,0.955,0.955,0.955
SEIR01_sl1000_mr025_nv10_20,0.903,0.882,1.0,1.0,1.0
SEIR01_sl1000_mr025_nv10_3,0.874,0.98,0.959,0.957,0.957
SEIR01_sl1000_mr025_nv10_4,0.805,0.923,0.923,0.94,0.918
SEIR01_sl1000_mr025_nv10_5,0.872,0.886,0.864,0.902,0.902
SEIR01_sl1000_mr025_nv10_6,0.727,0.857,0.857,0.857,0.857
SEIR01_sl1000_mr025_nv10_7,0.873,0.925,0.95,0.907,0.907
SEIR01_sl1000_mr025_nv10_8,0.898,1.0,0.923,0.941,0.941
SEIR01_sl1000_mr025_nv10_9,0.81,0.915,0.957,0.907,0.907
SEIR01_sl1000_mr025_nv20_1,0.857,1.0,1.0,0.984,0.984
SEIR01_sl1000_mr025_nv20_10,0.8,1.0,1.0,1.0,1.0
SEIR01_sl1000_mr025_nv20_11,0.889,1.0,1.0,1.0,1.0
SEIR01_sl1000_mr025_nv20_12,0.875,0.889,1.0,0.941,0.941
SEIR01_sl1000_mr025_nv20_13,0.863,0.931,0.93,0.919,0.936
SEIR01_sl1000_mr025_nv20_14,0.96,1.0,0.923,0.96,0.96
SEIR01_sl1000_mr025_nv20_15,0.821,0.957,0.957,0.955,0.955
SEIR01_sl1000_mr025_nv20_16,0.833,1.0,1.0,1.0,1.0
SEIR01_sl1000_mr025_nv20_17,0.936,1.0,1.0,1.0,1.0
SEIR01_sl1000_mr025_nv20_18,1.0,1.0,1.0,1.0,1.0
SEIR01_sl1000_mr025_nv20_19,0.971,1.0,1.0,0.99,0.99
SEIR01_sl1000_mr025_nv20_2,0.833,1.0,1.0,1.0,1.0
SEIR01_sl1000_mr025_nv20_20,0.76,0.935,0.933,0.931,0.893
SEIR01_sl1000_mr025_nv20_3,0.8,1.0,1.0,1.0,1.0
SEIR01_sl1000_mr025_nv20_4,0.933,1.0,1.0,1.0,1.0
SEIR01_sl1000_mr025_nv20_5,0.918,0.909,0.923,0.921,0.921
SEIR01_sl1000_mr025_nv20_6,0.952,1.0,1.0,1.0,1.0
SEIR01_sl1000_mr025_nv20_7,0.741,0.941,0.941,0.909,0.909
SEIR01_sl1000_mr025_nv20_8,1.0,1.0,1.0,1.0,1.0
SEIR01_sl1000_mr025_nv20_9,0.957,1.0,1.0,1.0,1.0
SEIR01_sl1000_mr025_nv5_1,0.776,0.829,0.805,0.784,0.795
SEIR01_sl1000_mr025_nv5_10,0.5,0.788,0.97,0.807,0.786
SEIR01_sl1000_mr025_nv5_11,0.774,0.737,0.8,0.848,0.848
SEIR01_sl1000_mr025_nv5_12,0.643,0.895,0.947,0.857,0.788
SEIR01_sl1000_mr025_nv5_13,0.857,1.0,1.0,0.957,0.957
SEIR01_sl1000_mr025_nv5_14,0.889,0.9,0.95,0.947,0.947
SEIR01_sl1000_mr025_nv5_15,0.773,0.889,0.889,0.88,0.88
SEIR01_sl1000_mr025_nv5_16,0.839,0.889,0.944,0.914,0.914
SEIR01_sl1000_mr025_nv5_17,0.778,1.0,1.0,1.0,1.0
SEIR01_sl1000_mr025_nv5_18,0.779,0.915,0.894,0.923,0.884
SEIR01_sl1000_mr025_nv5_19,0.804,0.879,0.87,0.891,0.907
SEIR01_sl1000_mr025_nv5_2,0.769,1.0,0.938,0.968,0.968
SEIR01_sl1000_mr025_nv5_20,0.8,0.833,0.875,0.844,0.864
SEIR01_sl1000_mr025_nv5_3,0.947,1.0,1.0,1.0,1.0
SEIR01_sl1000_mr025_nv5_4,0.734,0.86,0.845,0.86,0.867
SEIR01_sl1000_mr025_nv5_5,0.563,0.725,0.716,0.727,0.738
SEIR01_sl1000_mr025_nv5_6,0.545,0.75,0.625,0.667,0.667
SEIR01_sl1000_mr025_nv5_7,0.824,1.0,1.0,1.0,1.0
SEIR01_sl1000_mr025_nv5_8,0.821,0.913,0.957,0.955,0.955
SEIR01_sl1000_mr025_nv5_9,0.5,0.778,0.778,0.875,0.875
SEIR01_sl1000_mr05_nv10_1,0.632,0.923,0.923,0.917,0.917
SEIR01_sl1000_mr05_nv10_10,0.923,1.0,1.0,0.923,0.923
SEIR01_sl1000_mr05_nv10_11,0.836,0.875,0.921,0.918,0.918
SEIR01_sl1000_mr05_nv10_12,0.84,0.931,0.948,0.919,0.919
SEIR01_sl1000_mr05_nv10_13,0.545,0.875,1.0,0.933,0.933
SEIR01_sl1000_mr05_nv10_14,0.762,0.897,0.842,0.853,0.818
SEIR01_sl1000_mr05_nv10_15,1.0,1.0,1.0,1.0,1.0
SEIR01_sl1000_mr05_nv10_16,0.977,1.0,1.0,1.0,1.0
SEIR01_sl1000_mr05_nv10_17,0.778,0.909,0.864,0.878,0.878
SEIR01_sl1000_mr05_nv10_18,0.88,0.893,0.964,0.926,0.926
SEIR01_sl1000_mr05_nv10_19,0.727,0.857,0.857,0.769,0.769
SEIR01_sl1000_mr05_nv10_2,0.933,1.0,1.0,0.933,0.933
SEIR01_sl1000_mr05_nv10_20,0.844,0.942,0.971,0.928,0.928
SEIR01_sl1000_mr05_nv10_3,0.611,0.92,0.88,0.889,0.837
SEIR01_sl1000_mr05_nv10_4,0.842,0.727,0.909,0.952,0.842
SEIR01_sl1000_mr05_nv10_5,0.909,1.0,0.944,0.971,0.971
SEIR01_sl1000_mr05_nv10_6,0.75,0.9,0.962,0.935,0.921
SEIR01_sl1000_mr05_nv10_7,0.835,0.891,0.933,0.932,0.907
SEIR01_sl1000_mr05_nv10_8,1.0,1.0,1.0,1.0,1.0
SEIR01_sl1000_mr05_nv10_9,0.818,0.885,1.0,0.96,0.917
SEIR01_sl250_mr025_nv10_1,0.696,0.778,0.795,0.84,0.84
SEIR01_sl250_mr025_nv10_10,0.741,0.824,0.875,0.867,0.867
SEIR01_sl250_mr025_nv10_11,0.769,0.875,1.0,1.0,0.933
SEIR01_sl250_mr025_nv10_12,0.822,0.884,0.93,0.905,0.914
SEIR01_sl250_mr025_nv10_13,0.8,0.667,0.833,0.8,0.8
SEIR01_sl250_mr025_nv10_14,0.835,0.848,0.864,0.892,0.892
SEIR01_sl250_mr025_nv10_15,0.923,1.0,1.0,1.0,1.0
SEIR01_sl250_mr025_nv10_16,0.757,0.87,0.848,0.881,0.892
SEIR01_sl250_mr025_nv10_17,0.769,1.0,1.0,0.769,0.769
SEIR01_sl250_mr025_nv10_18,0.857,1.0,0.935,0.933,0.933
SEIR01_sl250_mr025_nv10_19,0.667,0.833,0.833,0.833,0.833
SEIR01_sl250_mr025_nv10_2,1.0,1.0,1.0,1.0,1.0
SEIR01_sl250_mr025_nv10_20,0.875,1.0,1.0,1.0,1.0
SEIR01_sl250_mr025_nv10_3,0.851,0.926,0.963,0.963,0.943
SEIR01_sl250_mr025_nv10_4,0.923,1.0,1.0,1.0,1.0
SEIR01_sl250_mr025_nv10_5,0.845,0.927,0.976,0.909,0.909
SEIR01_sl250_mr025_nv10_6,0.872,0.909,0.909,0.909,0.909
SEIR01_sl250_mr025_nv10_7,0.963,1.0,0.966,0.963,0.963
SEIR01_sl250_mr025_nv10_8,0.885,1.0,0.912,0.921,0.921
SEIR01_sl250_mr025_nv10_9,0.827,0.951,0.933,0.93,0.93
SEIR01_sl500_mr025_nv10_1,0.75,1.0,1.0,1.0,1.0
SEIR01_sl500_mr025_nv10_10,0.783,1.0,0.929,0.923,0.923
SEIR01_sl500_mr025_nv10_11,0.867,0.941,0.941,0.909,0.909
SEIR01_sl500_mr025_nv10_12,0.903,0.961,1.0,0.959,0.938
SEIR01_sl500_mr025_nv10_13,0.75,0.9,0.9,0.9,0.865
SEIR01_sl500_mr025_nv10_14,0.8,1.0,0.833,0.909,0.909
SEIR01_sl500_mr025_nv10_15,0.779,0.914,0.948,0.938,0.938
SEIR01_sl500_mr025_nv10_16,0.75,0.867,0.867,0.828,0.828
SEIR01_sl500_mr025_nv10_17,0.667,1.0,1.0,0.909,0.909
SEIR01_sl500_mr025_nv10_18,0.667,0.667,0.833,0.727,0.727
SEIR01_sl500_mr025_nv10_19,1.0,1.0,1.0,1.0,1.0
SEIR01_sl500_mr025_nv10_2,0.857,1.0,1.0,1.0,1.0
SEIR01_sl500_mr025_nv10_20,0.769,0.781,0.935,0.862,0.862
SEIR01_sl500_mr025_nv10_3,0.976,0.952,0.952,0.976,0.976
SEIR01_sl500_mr025_nv10_4,0.923,1.0,1.0,1.0,1.0
SEIR01_sl500_mr025_nv10_5,0.889,0.8,0.8,0.889,0.889
SEIR01_sl500_mr025_nv10_6,0.907,1.0,1.0,0.981,0.961
SEIR01_sl500_mr025_nv10_7,0.903,1.0,0.941,0.954,0.954
SEIR01_sl500_mr025_nv10_8,0.897,1.0,1.0,1.0,1.0
SEIR01_sl500_mr025_nv10_9,0.941,0.889,1.0,0.941,0.941
SIR003_sl1000_mr025_nv10_1,0.88,1.0,0.857,0.857,0.923
SIR003_sl1000_mr025_nv10_10,0.917,0.923,0.923,0.923,0.923
SIR003_sl1000_mr025_nv10_11,0.667,0.667,0.69,0.741,0.76
SIR003_sl1000_mr025_nv10_12,0.805,0.878,0.845,0.86,0.867
SIR003_sl1000_mr025_nv10_13,0.429,0.545,0.545,0.588,0.588
SIR003_sl1000_mr025_nv10_14,0.696,0.933,0.933,0.933,0.933
SIR003_sl1000_mr025_nv10_15,0.629,0.667,0.711,0.7,0.7
SIR003_sl1000_mr025_nv10_16,0.64,0.765,0.765,0.812,0.812
SIR003_sl1000_mr025_nv10_17,0.878,0.913,0.87,0.87,0.909
SIR003_sl1000_mr025_nv10_18,0.75,0.8,0.8,0.8,0.8
SIR003_sl1000_mr025_nv10_19,0.629,0.792,0.75,0.773,0.762
SIR003_sl1000_mr025_nv10_2,0.848,0.842,0.919,0.857,0.857
SIR003_sl1000_mr025_nv10_20,0.714,0.778,0.778,0.778,0.824
SIR003_sl1000_mr025_nv10_3,0.818,0.769,0.875,0.87,0.844
SIR003_sl1000_mr025_nv10_4,0.735,0.806,0.839,0.836,0.815
SIR003_sl1000_mr025_nv10_5,1.0,1.0,1.0,1.0,1.0
SIR003_sl1000_mr025_nv10_6,0.757,0.739,0.739,0.773,0.744
SIR003_sl1000_mr025_nv10_7,0.4,0.688,0.71,0.69,0.69
SIR003_sl1000_mr025_nv10_8,0.889,0.933,0.933,0.933,0.933
SIR003_sl1000_mr025_nv10_9,0.526,0.643,0.627,0.596,0.609
SIR003_sl1000_mr05_nv10_1,0.828,0.706,0.848,0.828,0.828
SIR003_sl1000_mr05_nv10_10,0.87,0.846,0.846,0.846,0.917
SIR003_sl1000_mr05_nv10_11,0.627,0.771,0.706,0.688,0.71
SIR003_sl1000_mr05_nv10_12,0.75,0.818,0.807,0.812,0.812
SIR003_sl1000_mr05_nv10_13,0.682,0.804,0.785,0.808,0.808
SIR003_sl1000_mr05_nv10_14,0.947,1.0,0.9,0.947,0.947
SIR003_sl1000_mr05_nv10_15,0.632,0.846,0.923,0.88,0.833
SIR003_sl1000_mr05_nv10_16,0.75,0.8,0.84,0.826,0.844
SIR003_sl1000_mr05_nv10_17,0.444,0.571,0.583,0.583,0.609
SIR003_sl1000_mr05_nv10_18,0.647,0.826,0.791,0.769,0.769
SIR003_sl1000_mr05_nv10_19,0.844,0.892,0.892,0.917,0.917
SIR003_sl1000_mr05_nv10_2,0.889,0.867,0.867,0.897,0.897
SIR003_sl1000_mr05_nv10_20,0.364,0.444,0.333,0.429,0.5
SIR003_sl1000_mr05_nv10_3,0.75,0.8,0.8,0.842,0.842
SIR003_sl1000_mr05_nv10_4,1.0,1.0,1.0,1.0,1.0
SIR003_sl1000_mr05_nv10_5,0.357,0.587,0.607,0.622,0.603
SIR003_sl1000_mr05_nv10_6,0.688,0.714,0.762,0.769,0.757
SIR003_sl1000_mr05_nv10_7,0.821,0.913,0.87,0.889,0.889
SIR003_sl1000_mr05_nv10_8,0.722,0.848,0.813,0.828,0.814
SIR003_sl1000_mr05_nv10_9,0.5,0.5,0.604,0.577,0.583
SIR003_sl1000_mr05_nv20_1,0.727,0.829,0.829,0.848,0.848
SIR003_sl1000_mr05_nv20_10,0.818,0.865,0.871,0.875,0.863
SIR003_sl1000_mr05_nv20_11,0.571,0.6,0.6,0.6,0.75
SIR003_sl1000_mr05_nv20_12,0.69,0.8,0.792,0.792,0.816
SIR003_sl1000_mr05_nv20_13,0.714,0.759,0.745,0.769,0.778
SIR003_sl1000_mr05_nv20_14,0.947,1.0,1.0,1.0,1.0
SIR003_sl1000_mr05_nv20_15,0.813,0.842,0.895,0.914,0.882
SIR003_sl1000_mr05_nv20_16,0.771,0.767,0.81,0.827,0.811
SIR003_sl1000_mr05_nv20_17,0.78,0.78,0.796,0.822,0.822
SIR003_sl1000_mr05_nv20_18,0.69,0.684,0.789,0.754,0.769
SIR003_sl1000_mr05_nv20_19,0.679,0.811,0.811,0.817,0.853
SIR003_sl1000_mr05_nv20_2,0.711,0.735,0.783,0.778,0.791
SIR003_sl1000_mr05_nv20_20,0.833,0.857,0.857,0.857,0.857
SIR003_sl1000_mr05_nv20_3,0.632,0.692,0.692,0.72,0.72
SIR003_sl1000_mr05_nv20_4,0.745,0.812,0.82,0.828,0.828
SIR003_sl1000_mr05_nv20_5,0.667,0.792,0.638,0.714,0.714
SIR003_sl1000_mr05_nv20_6,0.833,0.929,0.786,0.88,0.88
SIR003_sl1000_mr05_nv20_7,0.737,0.833,0.833,0.818,0.818
SIR003_sl1000_mr05_nv20_8,0.714,0.778,0.778,0.755,0.784
SIR003_sl1000_mr05_nv20_9,0.75,0.825,0.835,0.827,0.827
