host.id,tree.id,xcoord,tips,reads,subgraphs,clades,overall.rtt,largest.rtt,max.branch.length,max.pat.distance,global.mean.pat.distance,subgraph.mean.pat.distance,normalised.overall.rtt,normalised.largest.rtt,normalised.max.branch.length,normalised.max.pat.distance,normalised.global.mean.pat.distance,normalised.subgraph.mean.pat.distance,prop.gp.1
362,1300_to_1399,1349.5,10,10,1,4,1.5419275999999997,1.5419275999999997,1.071041,3.250296,2.3339034222222224,2.3339034222222224,1.5419275999999997,1.5419275999999997,1.071041,3.250296,2.3339034222222224,2.3339034222222224,1
372,1300_to_1399,1349.5,10,10,1,3,2.7563237000000003,2.7563237000000003,2.8589890000000002,6.542563,3.474635177777778,3.474635177777778,2.7563237000000003,2.7563237000000003,2.8589890000000002,6.542563,3.474635177777778,3.474635177777778,1
383,1300_to_1399,1349.5,10,10,1,1,0.26301209999999997,0.26301209999999997,0.368776,0.529082,0.21101011111111112,0.21101011111111112,0.26301209999999997,0.26301209999999997,0.368776,0.529082,0.21101011111111112,0.21101011111111112,1
425,1300_to_1399,1349.5,10,10,1,1,0.3411989,0.3411989,0.358847,0.773422,0.45687086666666665,0.45687086666666665,0.3411989,0.3411989,0.358847,0.773422,0.45687086666666665,0.45687086666666665,1
433,1300_to_1399,1349.5,10,10,1,1,0.058806000000000004,0.058806000000000004,0.07374,0.14091900000000002,0.0799712,0.0799712,0.058806000000000004,0.058806000000000004,0.07374,0.14091900000000002,0.0799712,0.0799712,1
435,1300_to_1399,1349.5,10,10,1,3,0.9473876999999999,0.9473876999999999,0.987934,2.0467160000000004,1.1860858444444444,1.1860858444444444,0.9473876999999999,0.9473876999999999,0.987934,2.0467160000000004,1.1860858444444444,1.1860858444444444,1
512,1300_to_1399,1349.5,10,10,1,4,0.5670797,0.5670797,0.5853109999999999,1.181614,0.6678031333333333,0.6678031333333333,0.5670797,0.5670797,0.5853109999999999,1.181614,0.6678031333333333,0.6678031333333333,1
56,1300_to_1399,1349.5,10,10,1,4,0.39688920000000005,0.39688920000000005,0.34181100000000003,0.8475330000000002,0.6014248888888889,0.6014248888888889,0.39688920000000005,0.39688920000000005,0.34181100000000003,0.8475330000000002,0.6014248888888889,0.6014248888888889,1
566,1300_to_1399,1349.5,10,10,1,1,0.7087076999999999,0.7087076999999999,1.150943,1.614882,0.8561364666666667,0.8561364666666667,0.7087076999999999,0.7087076999999999,1.150943,1.614882,0.8561364666666667,0.8561364666666667,1
567,1300_to_1399,1349.5,10,10,1,1,1.2773255,1.2773255,1.638624,3.317538,1.7620681555555555,1.7620681555555555,1.2773255,1.2773255,1.638624,3.317538,1.7620681555555555,1.7620681555555555,1
575,1300_to_1399,1349.5,10,10,1,1,1.6398886999999998,1.6398886999999998,1.978726,3.602041,2.2742008222222223,2.2742008222222223,1.6398886999999998,1.6398886999999998,1.978726,3.602041,2.2742008222222223,2.2742008222222223,1
59,1300_to_1399,1349.5,10,10,1,6,5.922300900000001,5.922300900000001,3.3821529999999997,8.617481999999999,6.5685092222222226,6.5685092222222226,5.922300900000001,5.922300900000001,3.3821529999999997,8.617481999999999,6.5685092222222226,6.5685092222222226,1
65,1300_to_1399,1349.5,10,10,1,2,1.5021566,1.5021566,1.74882,3.394967,2.431807288888889,2.431807288888889,1.5021566,1.5021566,1.74882,3.394967,2.431807288888889,2.431807288888889,1
68,1300_to_1399,1349.5,10,10,1,1,2.1905376,2.1905376,2.539946,4.083495,1.7761286666666667,1.7761286666666667,2.1905376,2.1905376,2.539946,4.083495,1.7761286666666667,1.7761286666666667,1
697,1300_to_1399,1349.5,10,10,1,6,2.4687075000000003,2.4687075000000003,1.781593,5.798973,4.203318511111111,4.203318511111111,2.4687075000000003,2.4687075000000003,1.781593,5.798973,4.203318511111111,4.203318511111111,1
72,1300_to_1399,1349.5,10,10,1,5,0.8071551000000001,0.8071551000000001,0.797643,1.572053,0.9781855333333334,0.9781855333333334,0.8071551000000001,0.8071551000000001,0.797643,1.572053,0.9781855333333334,0.9781855333333334,1
739,1300_to_1399,1349.5,10,10,1,1,0.7311026999999999,0.7311026999999999,1.0985399999999998,1.555403,0.8274098,0.8274098,0.7311026999999999,0.7311026999999999,1.0985399999999998,1.555403,0.8274098,0.8274098,1
74,1300_to_1399,1349.5,10,10,1,1,0.381238,0.381238,0.349386,0.895481,0.6142213333333333,0.6142213333333333,0.381238,0.381238,0.349386,0.895481,0.6142213333333333,0.6142213333333333,1
740,1300_to_1399,1349.5,10,10,1,1,0.5749791999999999,0.5749791999999999,0.584718,1.4103059999999998,0.8359847111111112,0.8359847111111112,0.5749791999999999,0.5749791999999999,0.584718,1.4103059999999998,0.8359847111111112,0.8359847111111112,1
745,1300_to_1399,1349.5,10,10,1,1,0.13009949999999998,0.13009949999999998,0.109075,0.282296,0.18642917777777776,0.18642917777777776,0.13009949999999998,0.13009949999999998,0.109075,0.282296,0.18642917777777776,0.18642917777777776,1
78,1300_to_1399,1349.5,10,10,1,1,0.054977399999999996,0.054977399999999996,0.068216,0.108352,0.05217586666666667,0.05217586666666667,0.054977399999999996,0.054977399999999996,0.068216,0.108352,0.05217586666666667,0.05217586666666667,1
79,1300_to_1399,1349.5,10,10,1,4,0.6279381,0.6279381,0.661805,1.3648500000000001,0.8366949555555555,0.8366949555555555,0.6279381,0.6279381,0.661805,1.3648500000000001,0.8366949555555555,0.8366949555555555,1
845,1300_to_1399,1349.5,10,10,1,1,0.63831,0.63831,0.707498,1.3970699999999998,0.8361847555555556,0.8361847555555556,0.63831,0.63831,0.707498,1.3970699999999998,0.8361847555555556,0.8361847555555556,1
947,1300_to_1399,1349.5,10,10,1,1,0.19346390000000002,0.19346390000000002,0.19034099999999998,0.43652900000000006,0.2509661111111111,0.2509661111111111,0.19346390000000002,0.19346390000000002,0.19034099999999998,0.43652900000000006,0.2509661111111111,0.2509661111111111,1
104,1400_to_1499,1449.5,10,10,1,1,0.03568349999999999,0.03568349999999999,0.050283999999999995,0.075902,0.03851575555555555,0.03851575555555555,0.03568349999999999,0.03568349999999999,0.050283999999999995,0.075902,0.03851575555555555,0.03851575555555555,1
114,1400_to_1499,1449.5,10,10,1,4,1.2235339,1.2235339,1.8265220000000002,2.722224,1.4788658000000001,1.4788658000000001,1.2235339,1.2235339,1.8265220000000002,2.722224,1.4788658000000001,1.4788658000000001,1
120,1400_to_1499,1449.5,10,10,1,6,0.8755863000000002,0.8755863000000002,0.799091,1.857333,1.148042911111111,1.148042911111111,0.8755863000000002,0.8755863000000002,0.799091,1.857333,1.148042911111111,1.148042911111111,1
123,1400_to_1499,1449.5,10,10,1,2,2.216869,2.216869,2.918971,4.853934000000001,2.8802503555555554,2.8802503555555554,2.216869,2.216869,2.918971,4.853934000000001,2.8802503555555554,2.8802503555555554,1
131,1400_to_1499,1449.5,10,10,1,1,0.5145452999999999,0.5145452999999999,0.516719,1.265841,0.8055351333333334,0.8055351333333334,0.5145452999999999,0.5145452999999999,0.516719,1.265841,0.8055351333333334,0.8055351333333334,1
145,1400_to_1499,1449.5,10,10,1,1,0.07042330000000002,0.07042330000000002,0.096608,0.157895,0.07430686666666667,0.07430686666666667,0.07042330000000002,0.07042330000000002,0.096608,0.157895,0.07430686666666667,0.07430686666666667,1
