host.id,tree.id,xcoord,tips,reads,subgraphs,clades,overall.rtt,largest.rtt,max.branch.length,max.pat.distance,global.mean.pat.distance,subgraph.mean.pat.distance,normalised.overall.rtt,normalised.largest.rtt,normalised.max.branch.length,normalised.max.pat.distance,normalised.global.mean.pat.distance,normalised.subgraph.mean.pat.distance,prop.gp.1,prop.gp.2,prop.gp.3,prop.gp.4,prop.gp.5,prop.gp.6,prop.gp.7,prop.gp.8,prop.gp.9,prop.gp.10,prop.gp.11,prop.gp.12,prop.gp.13,prop.gp.14,prop.gp.15,prop.gp.16,prop.gp.17,prop.gp.18,prop.gp.19,prop.gp.20
AI283,1600_to_1699,1649.5,13,13,4,4,0.011869692307692307,0.0075664999999999994,0.043342000000000006,0.072382,0.02090725641025641,0.0140398,0.011869692307692307,0.0075664999999999994,0.043342000000000006,0.072382,0.02090725641025641,0.0140398,0.46153846153846156,0.38461538461538464,0.07692307692307693,0.07692307692307693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AI001,1700_to_1799,1749.5,12,12,5,10,0.006611583333333333,0.001351625,0.007211,0.021604,0.007096530303030303,0.0026995357142857146,0.006611583333333333,0.001351625,0.007211,0.021604,0.007096530303030303,0.0026995357142857146,0.6666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AI002,1700_to_1799,1749.5,18,18,11,18,0.047336222222222224,0.024152142857142855,0.062562,0.12013600000000002,0.0551045751633987,0.018947619047619046,0.047336222222222224,0.024152142857142855,0.062562,0.12013600000000002,0.0551045751633987,0.018947619047619046,0.3888888888888889,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0,0,0,0,0,0,0,0,0
AI003,1700_to_1799,1749.5,8,8,7,8,0.1024635,0.0017465000000000002,0.190551,0.21933000000000002,0.12170785714285715,0.0034930000000000004,0.1024635,0.0017465000000000002,0.190551,0.21933000000000002,0.12170785714285715,0.0034930000000000004,0.25,0.125,0.125,0.125,0.125,0.125,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0
AI004,1700_to_1799,1749.5,29,29,12,26,0.10919806896551723,0.04362566666666666,0.17275,0.3379699999999999,0.14884454187192117,0.05621488888888889,0.10919806896551723,0.04362566666666666,0.17275,0.3379699999999999,0.14884454187192117,0.05621488888888889,0.3103448275862069,0.1724137931034483,0.10344827586206896,0.10344827586206896,0.06896551724137931,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0,0,0,0,0,0,0,0
AI005,1700_to_1799,1749.5,10,10,5,8,0.0834651,0.007927,0.055504,0.13442600000000002,0.06602082222222223,0.0158524,0.0834651,0.007927,0.055504,0.13442600000000002,0.06602082222222223,0.0158524,0.5,0.2,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AI007,1700_to_1799,1749.5,7,7,4,5,0.005727285714285714,0.007226666666666666,0.014772999999999998,0.025627999999999998,0.011108190476190475,0.012055333333333335,0.005727285714285714,0.007226666666666666,0.014772999999999998,0.025627999999999998,0.011108190476190475,0.012055333333333335,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AI052,1700_to_1799,1749.5,5,5,5,5,0.0071868,0,0.007214,0.021579,0.012934600000000001,NA,0.0071868,0,0.007214,0.021579,0.012934600000000001,NA,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AI102,1700_to_1799,1749.5,7,7,3,6,0.006736428571428571,0.0094254,0.014381999999999999,0.025306,0.012769333333333332,0.0173816,0.006736428571428571,0.0094254,0.014381999999999999,0.025306,0.012769333333333332,0.0173816,0.7142857142857143,0.14285714285714285,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AI105,1700_to_1799,1749.5,10,10,1,7,0.007194099999999999,0.007194099999999999,0.007214,0.021594000000000002,0.010871533333333334,0.010871533333333334,0.007194099999999999,0.007194099999999999,0.007214,0.021594000000000002,0.010871533333333334,0.010871533333333334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
